Topic,Book Count
racing,13373
railway-history,476
railways,4480
read-for-college,170598
read-for-school,790606
real-person-fiction,2023
realistic-fiction,1574202
realistic-young-adult,14692
recreation,117309
recruitment,1903
refereeing,19
reference,1748150
regency,408793
regency-romance,184252
regency-romance-clean,815
religion,1907794
reproductive-science,20
republic-of-the-congo,547
research,835385
research-methods,7441
retellings,646586
reverse-harem,628327
road-trip,179263
robots,57641
rock-n-roll,21740
role-playing-games,20433
roller-derby,1391
roman-britain,4059
romance,20125417
romania,31957
romanian-literature,46841
romanovs,5960
romantasy,414863
romantic-suspense,803881
romanticism,135761
royal-air-force,1701
rus,109066
russia,409732
russian-empire,5000
russian-federation,317
russian-history,56553
russian-literature,194532
russian-revolution,15173
rwanda,6632
saint-helena,459
sao-tome,32
sao-tome-and-principe,542
scandinavian-literature,57473
school,2031706
school-stories,83296
science,2892924
science-fiction,5663500
science-fiction-romance,63840
scientific-method,5291
scooters,644
scores,4158
scotland,232931
scripture,41756
seinen,116569
self-building,14498
self-help,1928118
semiotics,13854
senegal,6290
serbian-literature,4520
sewing,38204
sex-work,22595
seychelles,884
shapeshifters,356937
shinigami,3018
shojo,110023
shonen,148534
short-stories,3243980
short-story-collection,160105
shounen-ai,18031
siege-of-petersburg,53
sierra-leone,3324
siglo-de-oro,3680
silhouette,18257
skepticism,40912
slash-fiction,2084
slice-of-life,450666
social-change,53600
social-issues,504674
social-justice,412987
social-media,66966
social-movements,26627
social-science,323200
social-welfare,3816
social-work,87379
society,573122
sociology,866261
software,61909
soldiers,43986
somalia,6949
south-africa,50947
south-sudan,1477
southern,181117
southern-africa,7237
southern-gothic,59886
southern-war-for-independance,575
soviet-history,10641
soviet-union,38444
space-archaeology,1292
space-opera,276059
spain,163581
spanish-armada,140
spanish-civil-war,12134
spanish-history,7867
spanish-literature,100617
speculative-fiction,875499
spider-man,44874
spiritualism,33130
splatterpunk,22957
sports,1017770
sports-romance,467926
spy-thriller,89675
st-petersburg,6445
stand-up,8902
star-trek,193576
star-trek-deep-space-nine,2288
star-trek-enterprise,1423
star-trek-original-series,1539
star-trek-the-next-generation,4328
star-trek-voyager,3284
star-wars,682224
steam-trains,23
steampunk,417425
steampunk-romance,3526
storytime,291814
street-art,1284
streetmap,9
strippers,3713
stuart,9631
students,69770
subtraction,6470
sudan,8752
suisse,3997
sunday-comics,992
superheroes,344264
superman,44511
supernatural,1521753
supernatural-romance,88636
superstition,9285
survival,562329
suspense,2416426
sustainability,78283
swashbuckling,41013
swaziland,700
sweden,90911
swedish-literature,45281
sword-and-planet,7425
sword-and-sorcery,91713
syrian-civil-war,522
tanzania,5111
taoism,15732
tarot,45185
tasmania,4233
taxation,1416
tea,41617
teachers,63663
technical,138208
technology,392445
teen,1073300
terrorism,82143
